"","accepted_symbol","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"1","ABGR4","Abelia ×grandiflora","No","Rapid",4,"Low","Medium","Medium",2700,12,"Late Summer","Shrub","Spring"
"2","ABGR4","Abelia ×grandiflora","No","Rapid",4,"Low","Medium","Medium",2700,12,"Late Summer","Shrub","Summer"
"3","ABGR4","Abelia ×grandiflora","No","Rapid",4,"Low","Medium","Medium",2700,12,"Late Summer","Shrub","Fall"
"4","ABAM","Abies amabilis","No","Slow",165,"Low","None","Medium",700,36,"Late Spring","Tree","Spring"
"5","ABBA","Abies balsamea","No","Slow",60,"Low","Low","Medium",1200,20,"Mid Summer","Tree","Spring"
"6","ABCO","Abies concolor","No","Slow",120,"Medium","Medium","Medium",1200,40,"Late Spring","Tree","Spring"
"7","ABFR","Abies fraseri","No","Moderate",55,"Low","Low","Medium",1200,6,"Mid Spring","Tree","Spring"
"8","ABGR","Abies grandis","Yes","Moderate",150,"Medium","High","Medium",1200,20,"Late Spring","Tree","Spring"
"9","ABLA","Abies lasiocarpa","No","Slow",90,"Low","Low","Medium",1200,40,"Late Spring","Tree","Spring"
"10","ABMA","Abies magnifica","Yes","Slow",150,"Low","Low","Medium",1200,20,"Late Spring","Tree","Spring"
"11","ABPR","Abies procera","No","Rapid",230,"Low","Low","Low",1200,20,"Late Spring","Tree","Spring"
"12","ACCY2","Acacia cyclops","No","Rapid",12,"High","Medium","Medium",1200,18,"Mid Spring","Shrub","Spring"
"13","ACKO","Acacia koa","No","Moderate",110,"Medium","Medium","Medium",700,30,"Spring","Tree","Year Round"
"14","ACLO","Acacia longifolia","No","Rapid",20,"High","Medium","Medium",1200,24,"Summer","Tree","Spring"
"15","ACLO","Acacia longifolia","No","Rapid",20,"High","Medium","Medium",1200,24,"Summer","Shrub","Spring"
"16","ACME","Acacia melanoxylon","No","Rapid",40,"High","Medium","Medium",1200,28,"Early Spring","Tree","Spring"
"17","ACVI","Acalypha virginica","No","Rapid",3,"Medium","None","Medium",4800,6,"Early Summer","Forb/herb","Spring"
"18","ACVI","Acalypha virginica","No","Rapid",3,"Medium","None","Medium",4800,6,"Early Summer","Forb/herb","Summer"
"19","ACVI","Acalypha virginica","No","Rapid",3,"Medium","None","Medium",4800,6,"Early Summer","Forb/herb","Fall"
"20","ACCI","Acer circinatum","No","Moderate",20,"Low","Medium","Medium",1100,24,"Spring","Tree","Spring"
"21","ACCI","Acer circinatum","No","Moderate",20,"Low","Medium","Medium",1100,24,"Spring","Shrub","Spring"
"22","ACCI","Acer circinatum","No","Moderate",20,"Low","Medium","Medium",1100,24,"Spring","Vine","Spring"
"23","ACGI","Acer ginnala","No","Rapid",20,"Low","High","Medium",700,24,"Mid Spring","Tree","Spring"
"24","ACGI","Acer ginnala","No","Rapid",20,"Low","High","Medium",700,24,"Mid Spring","Shrub","Spring"
"25","ACGL","Acer glabrum","No","Rapid",30,"Medium","High","Low",1200,24,"Late Spring","Shrub","Spring"
"26","ACGL","Acer glabrum","No","Rapid",30,"Medium","High","Low",1200,24,"Late Spring","Tree","Spring"
"27","ACGLD4","Acer glabrum var. douglasii","No","Moderate",30,"Low","Low","Medium",2700,24,"Late Spring","Shrub","Spring"
"28","ACGLD4","Acer glabrum var. douglasii","No","Moderate",30,"Low","Low","Medium",2700,24,"Late Spring","Tree","Spring"
"29","ACGR3","Acer grandidentatum","No","Moderate",38,"Low","Medium","Medium",1100,24,"Spring","Tree","Spring"
"30","ACGR3","Acer grandidentatum","No","Moderate",38,"Low","Medium","Medium",1100,24,"Spring","Shrub","Spring"
"31","ACMA3","Acer macrophyllum","No","Rapid",60,"Low","High","Medium",700,24,"Mid Spring","Tree","Spring"
"32","ACNE2","Acer negundo","No","Rapid",60,"High","Low","Medium",1200,40,"Early Spring","Tree","Spring"
"33","ACNI5","Acer nigrum","No","Moderate",100,"Medium","Low","Medium",700,30,"Late Spring","Tree","Spring"
"34","ACPE","Acer pensylvanicum","Yes","Slow",35,"Low","Medium","Low",1100,28,"Late Spring","Tree","Spring"
"35","ACPE","Acer pensylvanicum","Yes","Slow",35,"Low","Medium","Low",1100,28,"Late Spring","Shrub","Spring"
"36","ACPL","Acer platanoides","No","Slow",50,"Low","Low","Medium",700,30,"Mid Spring","Tree","Spring"
"37","ACPS","Acer pseudoplatanus","No","Moderate",70,"Medium","Medium","Medium",700,48,"Late Spring","Tree","Spring"
"38","ACRU","Acer rubrum","No","Rapid",68,"Medium","Low","High",1200,30,"Early Spring","Tree","Spring"
"39","ACSA2","Acer saccharinum","No","Rapid",90,"Low","Low","Medium",700,32,"Early Spring","Tree","Spring"
"40","ACSA3","Acer saccharum","No","Slow",100,"Medium","Low","Medium",700,40,"Mid Spring","Tree","Spring"
"41","ACSA3","Acer saccharum","No","Slow",100,"Medium","Low","Medium",700,40,"Mid Spring","Shrub","Spring"
"42","ACSP2","Acer spicatum","No","Moderate",25,"Low","High","Medium",1100,32,"Spring","Tree","Spring"
"43","ACSP2","Acer spicatum","No","Moderate",25,"Low","High","Medium",1100,32,"Spring","Shrub","Spring"
"44","ACMI2","Achillea millefolium","No","Moderate",3,"Medium","High","Medium",19000,8,"Early Summer","Forb/herb","Spring"
"45","ACMIO","Achillea millefolium var. occidentalis","No","Moderate",3,"Medium","High","Medium",19000,8,"Late Spring","Forb/herb","Spring"
"46","ACOPR","Acmella oppositifolia var. repens","Yes","Rapid",1,"Low","Low","Medium",19000,6,"Late Summer","Forb/herb","Summer"
"47","ACCO4","Aconitum columbianum","No","Moderate",5,"Low","Medium","High",1200,10,"Early Summer","Forb/herb","Spring"
"48","ACAM","Acorus americanus","Yes","Moderate",4,"None","None","High",4800,10,"Late Spring","Forb/herb","Spring"
"49","ACCA4","Acorus calamus","No","Moderate",5,"None","High","High",4850,12,"Late Spring","Forb/herb","Spring"
"50","ADCA","Adiantum capillus-veneris","No","Moderate",2,"None","None","High",11000,2,"Summer","Forb/herb","Spring"
"51","ADPE","Adiantum pedatum","No","Moderate",1,"Low","Medium","Medium",4800,10,"Summer","Forb/herb","Spring"
"52","AECA","Aesculus californica","No","Moderate",25,"High","Medium","Medium",700,36,"Summer","Tree","Spring"
"53","AECA","Aesculus californica","No","Moderate",25,"High","Medium","Medium",700,36,"Summer","Shrub","Spring"
