Search type: State
Filters: Has Characteristics
Accepted Symbol,Synonym,Scientific Name,Common Name
"ACME",,"Acacia melanoxylon R. Br.",blackwood
"ACMA3",,"Acer macrophyllum Pursh",bigleaf maple
"ACNE2",,"Acer negundo L.",boxelder
"ACMI2",,"Achillea millefolium L.",common yarrow
"ACHY",,"Achnatherum hymenoides (Roem. & Schult.) Barkworth",Indian ricegrass
"ACOCO",,"Achnatherum occidentale (Thurb.) Barkworth ssp. occidentale ",western needlegrass
"ACSP12",,"Achnatherum speciosum (Trin. & Rupr.) Barkworth",desert needlegrass
"ADFA",,"Adenostoma fasciculatum Hook. & Arn.",chamise
"ADCA",,"Adiantum capillus-veneris L.",common maidenhair
"AECA",,"Aesculus californica (Spach) Nutt.",California buckeye
"AGGR",,"Agoseris grandiflora (Nutt.) Greene",bigflower agoseris
"AGEX",,"Agrostis exarata Trin.",spike bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGID",,"Agrostis idahoensis Nash",Idaho bentgrass
"AGPA8",,"Agrostis pallens Trin.",seashore bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"ALRH2",,"Alnus rhombifolia Nutt.",white alder
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"AMCA",,"Amaranthus californicus (Moq.) S. Watson",California amaranth
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALS",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.",Saskatoon serviceberry
"AMUT",,"Amelanchier utahensis Koehne",Utah serviceberry
"AMUTU",,"Amelanchier utahensis Koehne var. utahensis ",Utah serviceberry
"AMCO",,"Ammannia coccinea Rottb.",valley redstem
"AMAR4",,"Ammophila arenaria (L.) Link",European beachgrass
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMLY",,"Amsinckia lycopsoides Lehm.",tarweed fiddleneck
"ANGL2",,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",bushy bluestem
"ANCA10",,"Anemopsis californica (Nutt.) Hook. & Arn.",yerba mansa
"ANDI2",,"Antennaria dimorpha (Nutt.) Torr. & A. Gray",low pussytoes
"APCA",,"Apocynum cannabinum L.",Indianhemp
"ARME",,"Arbutus menziesii Pursh",Pacific madrone
"ARGL4",,"Arctostaphylos glauca Lindl.",bigberry manzanita
"ARPA6",,"Arctostaphylos patula Greene",greenleaf manzanita
"ARAN7",,"Argentina anserina (L.) Rydb.",silverweed cinquefoil
"ARDI5",,"Aristida divaricata Humb. & Bonpl. ex Willd.",poverty threeawn
"ARLU",,"Artemisia ludoviciana Nutt.",white sagebrush
"ARNO4",,"Artemisia nova A. Nelson",black sagebrush
"ARTR2",,"Artemisia tridentata Nutt.",big sagebrush
"ARTRT",,"Artemisia tridentata Nutt. ssp. tridentata ",basin big sagebrush
"ARDO4",,"Arundo donax L.",giant reed
"ASFI",,"Astragalus filipes Torr. ex A. Gray",basalt milkvetch
"ASLE8",,"Astragalus lentiginosus Douglas ex Hook.",freckled milkvetch
"ATCA2",,"Atriplex canescens (Pursh) Nutt.",fourwing saltbush
"ATCO",,"Atriplex confertifolia (Torr. & Frém.) S. Watson",shadscale saltbush
"ATLE",,"Atriplex lentiformis (Torr.) S. Watson",big saltbush
"ATNU",,"Atriplex nummularia Lindl.",bluegreen saltbush
"ATPO",,"Atriplex polycarpa (Torr.) S. Watson",cattle saltbush
"ATSE",,"Atriplex semibaccata R. Br.",Australian saltbush
"AVFA",,"Avena fatua L.",wild oat
"AVSA",,"Avena sativa L.",common oat
"BAPI",,"Baccharis pilularis DC.",coyotebrush
"BASA4",,"Baccharis salicifolia (Ruiz & Pav.) Pers.",mule-fat
"BAHY",,"Bassia hyssopifolia (Pall.) Kuntz",fivehorn smotherweed
"BAMA5",,"Batis maritima L.",turtleweed
"BEER",,"Berula erecta (Huds.) Coville",cutleaf waterparsnip
"BEOC2",,"Betula occidentalis Hook.",water birch
"BIFR",,"Bidens frondosa L.",devil's beggartick
"BILA",,"Bidens laevis (L.) Britton, Sterns & Poggenb.",smooth beggartick
"BOBA3",,"Bothriochloa barbinodis (Lag.) Herter",cane bluestem
"BRRA",,"Brassica rapa L.",field mustard
"BRCA5",,"Bromus carinatus Hook. & Arn.",California brome
"BRCA6",,"Bromus catharticus Vahl",rescuegrass
"BRCI2",,"Bromus ciliatus L.",fringed brome
"BRIN2",,"Bromus inermis Leyss.",smooth brome
"BRRU2",,"Bromus rubens L.",red brome
"CADE27",,"Calocedrus decurrens (Torr.) Florin",incense cedar
"CAOL",,"Cardamine oligosperma Nutt.",little western bittercress
"CADI4",,"Carex diandra Schrank",lesser panicled sedge
"CAPR5",,"Carex praegracilis W. Boott",clustered field sedge
"CASC12",,"Carex scopulorum T. Holm",mountain sedge
"CAAN7",,"Castilleja angustifolia (Nutt.) G. Don",northwestern Indian paintbrush
"CAAP4",,"Castilleja applegatei Fernald",wavyleaf Indian paintbrush
"CECO",,"Ceanothus cordulatus Kellogg",whitethorn ceanothus
"CECU",,"Ceanothus cuneatus (Hook.) Nutt.",buckbrush
"CEGR",,"Ceanothus greggii A. Gray",desert ceanothus
"CEIN3",,"Ceanothus integerrimus Hook. & Arn.",deerbrush
"CEME",,"Ceanothus megacarpus Nutt.",bigpod ceanothus
"CEEX",,"Centaurium exaltatum (Griseb.) W. Wight ex Piper",desert centaury
"CEDE4",,"Ceratophyllum demersum L.",coon's tail
"CELE3",,"Cercocarpus ledifolius Nutt.",curl-leaf mountain mahogany
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"CHLA",,"Chamaecyparis lawsoniana (A. Murray bis) Parl.",Port Orford cedar
"CHGA2",,"Chloris gayana Kunth",Rhodes grass
"CHSE11",,"Chrysolepis sempervirens (Kellogg) Hjelmqvist",bush chinquapin
"CHVI8",,"Chrysothamnus viscidiflorus (Hook.) Nutt.",yellow rabbitbrush
"CIIN",,"Cichorium intybus L.",chicory
"CLPE",,"Claytonia perfoliata Donn ex Willd.",miner's lettuce
"CLLI2",,"Clematis ligusticifolia Nutt.",western white clematis
"CLIS",,"Cleome isomeris Greene",bladderpod spiderflower
"CLSE",,"Cleome serrulata Pursh",Rocky Mountain beeplant
"COAR6",,"Colutea arborescens L.",bladder senna
"COCA5",,"Conyza canadensis (L.) Cronquist",Canadian horseweed
"COMA5",,"Cordylanthus maritimus Nutt. ex Benth.",saltmarsh bird's-beak
"CONU4",,"Cornus nuttallii Audubon ex Torr. & A. Gray",Pacific dogwood
"COSEO",,"Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg",western dogwood
"COSES",,"Cornus sericea L. ssp. sericea ",redosier dogwood
"COSE4",,"Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.",Uruguayan pampas grass
"CRAC2",,"Crepis acuminata Nutt.",tapertip hawksbeard
"CRTR5",,"Cressa truxillensis Kunth",spreading alkaliweed
"CUFO",,"Cucurbita foetidissima Kunth",Missouri gourd
"CYDA",,"Cynodon dactylon (L.) Pers.",Bermudagrass
"CYER2",,"Cyperus erythrorhizos Muhl.",redroot flatsedge
"CYES",,"Cyperus esculentus L.",yellow nutsedge
"CYOD",,"Cyperus odoratus L.",fragrant flatsedge
"DAGL",,"Dactylis glomerata L.",orchardgrass
"DEGL3",,"Delphinium glaucum S. Watson",Sierra larkspur
"DEDA",,"Deschampsia danthonioides (Trin.) Munro",annual hairgrass
"DICI",,"Digitaria ciliaris (Retz.) Koeler",southern crabgrass
"DISP",,"Distichlis spicata (L.) Greene",saltgrass
"DOPU",,"Dodecatheon pulchellum (Raf.) Merr.",darkthroat shootingstar
"ECCO2",,"Echinochloa colona (L.) Link",jungle rice
"ECPR",,"Eclipta prostrata (L.) L.",false daisy
"EHCA",,"Ehrharta calycina Sm.",perennial veldtgrass
"ELRO2",,"Eleocharis rostellata (Torr.) Torr.",beaked spikerush
"ELCA7",,"Elodea canadensis Michx.",Canadian waterweed
"ELEL5",,"Elymus elymoides (Raf.) Swezey",squirreltail
"ELGL",,"Elymus glaucus Buckley",blue wildrye
"ELRE4",,"Elymus repens (L.) Gould",quackgrass
"ENFA",,"Encelia farinosa A. Gray ex Torr.",brittlebush
"EPNE",,"Ephedra nevadensis S. Watson",Nevada jointfir
"EPTR",,"Ephedra trifurca Torr. ex S. Watson",longleaf jointfir
"EPVI",,"Ephedra viridis Coville",mormon tea
"EPGL",,"Epilobium glaberrimum Barbey",glaucus willowherb
"EQAR",,"Equisetum arvense L.",field horsetail
"EQLA",,"Equisetum laevigatum A. Braun",smooth horsetail
"ERHY",,"Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.",teal lovegrass
"ERLE",,"Eragrostis lehmanniana Nees",Lehmann lovegrass
