"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"1","ACME","blackwood","Acacia melanoxylon","No","Rapid",40,"High","Medium","Medium",1200,28,"Early Spring","Tree","Spring"
"2","ACMA3","bigleaf maple","Acer macrophyllum","No","Rapid",60,"Low","High","Medium",700,24,"Mid Spring","Tree","Spring"
"3","ACNE2","boxelder","Acer negundo","No","Rapid",60,"High","Low","Medium",1200,40,"Early Spring","Tree","Spring"
"4","ACMI2","common yarrow","Achillea millefolium","No","Moderate",3,"Medium","High","Medium",19000,8,"Early Summer","Forb/herb","Spring"
"5","ADCA","common maidenhair","Adiantum capillus-veneris","No","Moderate",2,"None","None","High",11000,2,"Summer","Forb/herb","Spring"
"6","AECA","California buckeye","Aesculus californica","No","Moderate",25,"High","Medium","Medium",700,36,"Summer","Tree","Spring"
"7","AECA","California buckeye","Aesculus californica","No","Moderate",25,"High","Medium","Medium",700,36,"Summer","Shrub","Spring"
"8","AGST2","creeping bentgrass","Agrostis stolonifera","No","Moderate",2,"Low","Medium","High",43560,12,"Mid Summer","Graminoid","Summer"
"9","AIAL","tree of heaven","Ailanthus altissima","No","Rapid",55,"Medium","Medium","Medium",1200,30,"Late Spring","Tree","Spring"
"10","ALRH2","white alder","Alnus rhombifolia","No","Rapid",65,"Low","Low","High",400,12,"Fall","Tree","Spring"
"11","ALPH","alligatorweed","Alternanthera philoxeroides","Yes","Rapid",0,"Low","None","High",4800,10,"Early Spring","Forb/herb","Spring"
"12","AMAL2","Saskatoon serviceberry","Amelanchier alnifolia","No","Moderate",15,"Low","High","Medium",1700,24,"Early Summer","Tree","Spring"
"13","AMAL2","Saskatoon serviceberry","Amelanchier alnifolia","No","Moderate",15,"Low","High","Medium",1700,24,"Early Summer","Shrub","Spring"
"14","AMALS","Saskatoon serviceberry","Amelanchier alnifolia var. semiintegrifolia","No","Moderate",20,"Low","Medium","Low",1200,20,"Late Spring","Tree","Spring"
"15","AMALS","Saskatoon serviceberry","Amelanchier alnifolia var. semiintegrifolia","No","Moderate",20,"Low","Medium","Low",1200,20,"Late Spring","Shrub","Spring"
"16","AMUT","Utah serviceberry","Amelanchier utahensis","No","Rapid",15,"High","High","Medium",1700,24,"Late Spring","Tree","Spring"
"17","AMUT","Utah serviceberry","Amelanchier utahensis","No","Rapid",15,"High","High","Medium",1700,24,"Late Spring","Shrub","Spring"
"18","AMUTU","Utah serviceberry","Amelanchier utahensis var. utahensis","No","Slow",15,"High","High","Medium",3450,12,"Late Spring","Shrub","Spring"
"19","AMUTU","Utah serviceberry","Amelanchier utahensis var. utahensis","No","Slow",15,"High","High","Medium",3450,12,"Late Spring","Tree","Spring"
