species_id,common_name,species_name,nursery_id,name,lat,long,website 
1,California Cudweed,california_cudweed,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
1,California Cudweed,california_cudweed,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
2,California Poppy,california_poppy,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
2,California Poppy,california_poppy,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
2,California Poppy,california_poppy,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
2,California Poppy,california_poppy,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
3,Coast Dudleya,coast_dudleya,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
3,Coast Dudleya,coast_dudleya,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
3,Coast Dudleya,coast_dudleya,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
4,Foothill Penstemon,foothill_penstemon,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
4,Foothill Penstemon,foothill_penstemon,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
5,Common Yarrow,common_yarrow,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
5,Common Yarrow,common_yarrow,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
5,Common Yarrow,common_yarrow,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
6,California Buckwheat,ca_buckwheat,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
6,California Buckwheat,ca_buckwheat,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
6,California Buckwheat,ca_buckwheat,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
6,California Buckwheat,ca_buckwheat,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
7,California Sagebrush,ca_sagebrush ,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
7,California Sagebrush,ca_sagebrush ,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
7,California Sagebrush,ca_sagebrush ,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
7,California Sagebrush,ca_sagebrush ,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
8,Coyote Brush,coyote_brush,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
8,Coyote Brush,coyote_brush,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
8,Coyote Brush,coyote_brush,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
9,Coastal Cholla,coastal_cholla,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
9,Coastal Cholla,coastal_cholla,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
9,Coastal Cholla,coastal_cholla,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
10,Bladderpod,bladderpod ,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
10,Bladderpod,bladderpod ,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
10,Bladderpod,bladderpod ,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
11,Scarlet Monkeyflower,scarlet_monkeyflower,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
11,Scarlet Monkeyflower,scarlet_monkeyflower,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
12,Calfornia Fuschia,ca_fuschia,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
12,Calfornia Fuschia,ca_fuschia,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
12,Calfornia Fuschia,ca_fuschia,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
13,Chaparral Yucca,chaparral_yucca,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
13,Chaparral Yucca,chaparral_yucca,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
13,Chaparral Yucca,chaparral_yucca,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
13,Chaparral Yucca,chaparral_yucca,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
13,Chaparral Yucca,chaparral_yucca,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
14,Toyon,toyon,4,"Matilija Nursery, Moorpark",34.3184,-118.8811,https://www.matilijanursery.com/
14,Toyon,toyon,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
14,Toyon,toyon,7,"El Nativo Growers, Azusa",34.1309,-117.9115,https://elnativogrowers.com/
14,Toyon,toyon,3,"Artemisia Nursery, Los Angeles",34.0706007,-118.173616,https://artemisianursery.com/
15,Laurel Sumac ,laurel_sumac ,1,"Theodore Payne Nursery, Los Angeles",34.2385248,-118.3593541,https://theodorepayne.org/plants-and-seeds/nursery/
15,Laurel Sumac ,laurel_sumac ,5,"Plant Material, Los Angeles",34.11452,-118.2362,https://plant-material.com/
